,Signal
2016-10-14 11:11:41.000,0.0
2016-10-14 11:11:41.250,1.0
2016-10-14 11:11:41.500,1.0
2016-10-14 11:11:41.750,1.0
2016-10-14 11:11:42.000,1.0
2016-10-14 11:11:42.250,1.0
2016-10-14 11:11:42.500,1.0
2016-10-14 11:11:42.750,1.0
2016-10-14 11:11:43.000,1.0
2016-10-14 11:11:43.250,1.0
2016-10-14 11:11:43.500,0.0
2016-10-14 11:11:43.750,0.0
2016-10-14 11:11:44.000,0.0
2016-10-14 11:11:44.250,0.0
2016-10-14 11:11:44.500,0.0
2016-10-14 11:11:44.750,0.0
2016-10-14 11:11:45.000,0.0
2016-10-14 11:11:45.250,0.0
2016-10-14 11:11:45.500,0.0
2016-10-14 11:11:45.750,0.0
2016-10-14 11:11:46.000,0.0
2016-10-14 11:11:46.250,0.0
2016-10-14 11:11:46.500,0.0
2016-10-14 11:11:46.750,0.0
2016-10-14 11:11:47.000,0.0
2016-10-14 11:11:47.250,0.0
2016-10-14 11:11:47.500,0.0
2016-10-14 11:11:47.750,0.0
2016-10-14 11:11:48.000,0.0
2016-10-14 11:11:48.250,0.0
2016-10-14 11:11:48.500,0.0
2016-10-14 11:11:48.750,0.0
2016-10-14 11:11:49.000,0.0
2016-10-14 11:11:49.250,0.0
2016-10-14 11:11:49.500,0.0
2016-10-14 11:11:49.750,0.0
2016-10-14 11:11:50.000,0.0
2016-10-14 11:11:50.250,0.0
2016-10-14 11:11:50.500,0.0
2016-10-14 11:11:50.750,0.0
2016-10-14 11:11:51.000,0.0
2016-10-14 11:11:51.250,0.0
2016-10-14 11:11:51.500,0.0
2016-10-14 11:11:51.750,0.0
2016-10-14 11:11:52.000,0.0
2016-10-14 11:11:52.250,0.0
2016-10-14 11:11:52.500,0.0
2016-10-14 11:11:52.750,0.0
2016-10-14 11:11:53.000,0.0
2016-10-14 11:11:53.250,0.0
2016-10-14 11:11:53.500,0.0
2016-10-14 11:11:53.750,0.0
2016-10-14 11:11:54.000,0.0
2016-10-14 11:11:54.250,1.0
2016-10-14 11:11:54.500,1.0
2016-10-14 11:11:54.750,1.0
2016-10-14 11:11:55.000,0.0
2016-10-14 11:11:55.250,0.0
2016-10-14 11:11:55.500,1.0
2016-10-14 11:11:55.750,1.0
2016-10-14 11:11:56.000,1.0
2016-10-14 11:11:56.250,1.0
2016-10-14 11:11:56.500,0.0
2016-10-14 11:11:56.750,0.0
2016-10-14 11:11:57.000,0.0
2016-10-14 11:11:57.250,1.0
2016-10-14 11:11:57.500,1.0
2016-10-14 11:11:57.750,1.0
2016-10-14 11:11:58.000,1.0
2016-10-14 11:11:58.250,0.0
2016-10-14 11:11:58.500,0.0
2016-10-14 11:11:58.750,0.0
2016-10-14 11:11:59.000,0.0
2016-10-14 11:11:59.250,0.0
2016-10-14 11:11:59.500,0.0
2016-10-14 11:11:59.750,0.0
2016-10-14 11:12:00.000,0.0
2016-10-14 11:12:00.250,0.0
2016-10-14 11:12:00.500,0.0
2016-10-14 11:12:00.750,0.0
2016-10-14 11:12:01.000,0.0
2016-10-14 11:12:01.250,0.0
2016-10-14 11:12:01.500,0.0
2016-10-14 11:12:01.750,0.0
2016-10-14 11:12:02.000,0.0
2016-10-14 11:12:02.250,0.0
2016-10-14 11:12:02.500,0.0
2016-10-14 11:12:02.750,0.0
2016-10-14 11:12:03.000,0.0
2016-10-14 11:12:03.250,0.0
2016-10-14 11:12:03.500,0.0
2016-10-14 11:12:03.750,0.0
2016-10-14 11:12:04.000,0.0
2016-10-14 11:12:04.250,1.0
2016-10-14 11:12:04.500,1.0
2016-10-14 11:12:04.750,1.0
2016-10-14 11:12:05.000,1.0
2016-10-14 11:12:05.250,1.0
2016-10-14 11:12:05.500,1.0
2016-10-14 11:12:05.750,0.0
2016-10-14 11:12:06.000,0.0
2016-10-14 11:12:06.250,0.0
2016-10-14 11:12:06.500,0.0
2016-10-14 11:12:06.750,0.0
2016-10-14 11:12:07.000,0.0
